pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
114,蚌埠,1.4,132,轻度污染,87,aqispider,26,2018-05-02 02:29:10.011000,2015-11-13,149,34
130,安阳,2.5,158,中度污染,86,aqispider,26,2018-05-02 02:29:10.013000,2014-04-18,172,39
93,安阳,3.2,0,轻度污染,42,aqispider,34,2018-05-02 02:29:10.016000,2014-04-19,123,55
109,安阳,4.8,181,轻度污染,62,aqispider,33,2018-05-02 02:29:10.019000,2014-04-20,143,59
108,安阳,5.5,167,轻度污染,30,aqispider,41,2018-05-02 02:29:10.021000,2014-04-21,142,70
78,安阳,3,130,轻度污染,106,aqispider,33,2018-05-02 02:29:10.024000,2014-04-22,104,41
75,蚌埠,0.8,122,良,124,aqispider,30,2018-05-02 02:29:10.116000,2015-10-11,100,44
126,蚌埠,1.1,194,中度污染,142,aqispider,29,2018-05-02 02:29:10.118000,2015-10-12,166,60
84,蚌埠,1,147,轻度污染,168,aqispider,31,2018-05-02 02:29:10.120000,2015-10-13,112,55
73,蚌埠,1,119,轻度污染,170,aqispider,31,2018-05-02 02:29:10.123000,2015-10-14,110,45
109,安阳,1.7,212,轻度污染,74,aqispider,86,2018-05-02 02:29:10.126000,2014-03-21,143,64
106,安阳,1.5,166,轻度污染,86,aqispider,84,2018-05-02 02:29:10.129000,2014-03-22,139,65
75,安阳,1.4,0,良,102,aqispider,55,2018-05-02 02:29:10.130000,2014-03-23,100,51
83,安阳,1.7,129,轻度污染,124,aqispider,62,2018-05-02 02:29:10.134000,2014-03-24,110,58
136,蚌埠,1.5,168,中度污染,89,aqispider,28,2018-05-02 02:29:10.137000,2015-11-14,180,37
119,蚌埠,1.6,148,中度污染,68,aqispider,30,2018-05-02 02:29:10.141000,2015-11-15,156,44
74,蚌埠,1.3,93,良,71,aqispider,27,2018-05-02 02:29:10.143000,2015-11-16,99,32
71,蚌埠,1.3,87,良,66,aqispider,23,2018-05-02 02:29:10.146000,2015-11-17,95,29
64,安阳,0.9,89,良,89,aqispider,23,2018-05-02 02:29:10.148000,2014-04-23,87,32
76,安阳,1,109,轻度污染,117,aqispider,24,2018-05-02 02:29:10.152000,2014-04-24,102,39
97,安阳,1.5,0,轻度污染,78,aqispider,27,2018-05-02 02:29:10.153000,2014-04-25,128,58
56,安阳,1.3,132,良,58,aqispider,46,2018-05-02 02:29:10.157000,2014-04-26,91,52
129,蚌埠,1.3,179,中度污染,167,aqispider,39,2018-05-02 02:29:10.251000,2015-10-15,170,50
183,蚌埠,1.6,233,重度污染,188,aqispider,47,2018-05-02 02:29:10.254000,2015-10-16,233,70
120,蚌埠,1.3,156,中度污染,192,aqispider,33,2018-05-02 02:29:10.259000,2015-10-17,158,67
137,安阳,2.3,204,中度污染,102,aqispider,63,2018-05-02 02:29:10.262000,2014-03-25,182,62
128,安阳,2.2,172,中度污染,133,aqispider,50,2018-05-02 02:29:10.266000,2014-03-26,169,48
84,安阳,1.7,0,轻度污染,164,aqispider,27,2018-05-02 02:29:10.269000,2014-03-27,112,31
54,蚌埠,1,69,良,51,aqispider,20,2018-05-02 02:29:10.272000,2015-11-18,74,28
56,蚌埠,0.9,73,良,42,aqispider,32,2018-05-02 02:29:10.278000,2015-11-19,77,33
59,蚌埠,1,74,良,58,aqispider,28,2018-05-02 02:29:10.280000,2015-11-20,80,35
82,安阳,2.5,198,轻度污染,87,aqispider,93,2018-05-02 02:29:10.300000,2014-04-27,124,64
70,蚌埠,0.9,96,良,147,aqispider,34,2018-05-02 02:29:10.358000,2015-10-18,94,51
61,蚌埠,0.8,86,良,120,aqispider,33,2018-05-02 02:29:10.361000,2015-10-19,83,50
54,蚌埠,0.8,87,良,125,aqispider,30,2018-05-02 02:29:10.364000,2015-10-20,74,50
49,蚌埠,0.8,81,良,125,aqispider,28,2018-05-02 02:29:10.367000,2015-10-21,71,47
86,安阳,1.7,149,轻度污染,171,aqispider,36,2018-05-02 02:29:10.370000,2014-03-28,114,40
141,安阳,2.6,263,中度污染,187,aqispider,59,2018-05-02 02:29:10.375000,2014-03-29,188,56
178,安阳,2.2,254,重度污染,165,aqispider,49,2018-05-02 02:29:10.377000,2014-03-30,228,52
